,href,tag,attention_num,fans_num,weibo_num,user_info
0,https://weibo.com/u/7473620952,专注于虾圈物料海外搬运的民间组织,"62
关注","46814
粉丝","67
微博","昵称：
虾粮海外转运站
所在地：
海外
性别：
女
生日：
1991年10月5日
简介：
专注于虾圈物料海外搬运的民间组织
注册时间：
2020-06-22"
1,https://weibo.com/budweiser,百威啤酒官方微博,"145
关注","4227698
粉丝","7672
微博","友情链接：
百威啤酒官方网站
百威英博条款细则"
2,https://weibo.com/u/5914184991,知名娱乐博主 饭制视频自媒体,"105
关注","53749
粉丝","934
微博","昵称：
蛋花栗
所在地：
其他
性别：
女
生日：
双子座
简介：
最后只剩下星空🌌
注册时间：
2016-05-02"
3,https://weibo.com/u/7479939833,肤白貌美大长腿，不服憋着😎,"256
关注","143236
粉丝","3414
微博","昵称：
有狐bot3
所在地：
其他
性别：
男
简介：
肤白貌美大长腿，不服憋着😎
注册时间：
2020-07-12"
4,https://weibo.com/u/7465911353,微博剪辑视频博主,"53
关注","111682
粉丝","154
微博","昵称：
虾圈配音社
所在地：
重庆 巴南区
性别：
女
生日：
天秤座
简介：
hello～这里是虾圈配音社。
注册时间：
2020-05-31
大学：
重庆工商大学"
5,https://weibo.com/u/1653341403,配音演员，《叶问》配音叶问、《窃听风云》林一祥,"301
关注","786520
粉丝","3441
微博","昵称：
海绵宝宝海绵陈浩
所在地：
北京
性别：
男
生日：
1979年2月14日
博客：
http://blog.sina.com.cn/hellojerry
简介：
后期配音制作，包括电影，电视剧，动画片，专题片，广告等。请联系本人邮箱532513332@qq.com
注册时间：
2009-10-13"
6,https://weibo.com/yuerwlbat,动漫博主,"788
关注","141825
粉丝","1717
微博","昵称：
凃白声
所在地：
北京 朝阳区
性别：
男
生日：
2月14日
个性域名：
https://weibo.com/yuerwlbat
简介：
坦坦荡荡，问心无愧
注册时间：
2013-06-03
标签：
电影
游戏
漫画
旅游
美食
游戏动漫
文艺"
7,https://weibo.com/206782182,知名音乐博主,"372
关注","169906
粉丝","10556
微博","昵称：
呆桃燚
所在地：
重庆
性别：
女
生日：
10月5日
个性域名：
https://weibo.com/206782182 https://weibo.com/pinganxileaa
简介：
你做得很好，保持就好。🐰.
注册时间：
2010-08-01
公司：

乱写的
地区：其他
大学：
重庆工商大学
标签：
肖战"
8,https://weibo.com/u/6643123988,肖战工作室官方微博,"16
关注","7039597
粉丝","187
微博","邮箱：
xzstudio@xmzxzy.com"
9,https://weibo.com/jiangshuijun,喜欢被刷屏~,"519
关注","2105
粉丝","24369
微博","昵称：
江水_累
所在地：
上海 嘉定区
性别：
男
个性域名：
https://weibo.com/jiangshuijun
简介：
喜欢被刷屏~
注册时间：
2010-03-21
标签：
扭三已毕业
权瑜需自重
爬墙很快
怪阿姨
凤仪美食论坛
霹雳布袋戏
XQ
先秦文化论坛"
10,https://weibo.com/u/5118223590,兔毛队长，在线秃毛,"49
关注","478057
粉丝","11398
微博","昵称：
兔毛栽培队
所在地：
重庆
性别：
男
生日：
1991年10月5日
简介：
兔毛队长，在线秃毛
注册时间：
2014-05-02
公司：
控黑
标签：
八卦杂谈"
11,https://weibo.com/u/2624855867,知名娱乐博主 微博娱评团成员,"488
关注","2844425
粉丝","6631
微博","昵称：
圈内九叔
所在地：
北京
性别：
男
简介：
娱乐评论人 知名剧综博主
注册时间：
2012-02-21
公司：
合作请私信
标签：
明星
影视
综艺
电视剧
电影"
12,https://weibo.com/u/5264926524,娱乐博主 微博原创视频博主,"626
关注","250223
粉丝","12223
微博","昵称：
李美美诶
所在地：
重庆
性别：
女
性取向：
异性恋
感情状况：
单身
生日：
天秤座
简介：
乖
注册时间：
2014-08-23
公司：
肖战工作室
大学：
重庆工商大学
标签：
跑步
文藝
绘画"
13,https://weibo.com/u/3266963205,娱乐博主,"385
关注","659392
粉丝","15848
微博","昵称：
可愛dd-
所在地：
海外
性别：
女
生日：
1994年10月25日
简介：
肖战唯粉
注册时间：
2013-03-16
公司：
大学：
清华大学 (2013年)
天文系
标签：
饭圈
爱音乐
综艺娱乐
文字
微博
情感
电视剧
音乐
娱乐"
14,https://weibo.com/pjiejie,微博2019十大影响力综艺大V 资深电视评论人 微博电视团成员 微博剪辑视频博主 娱乐综艺视频自媒体,"1057
关注","8918459
粉丝","70877
微博","昵称：
星闻揭秘
所在地：
海外 美国
性别：
女
生日：
2013年7月1日
个性域名：
https://weibo.com/pjiejie
简介：
星姐，全世界最可爱的！（@星姐星闻 @星闻剧场 ）
注册时间：
2014-04-10
公司：
合作请私信
地区：北京 ，东城区
标签：
名人明星
花痴
旅游美食"
15,https://weibo.com/a520xiao,知名电视剧博主,"373
关注","149261
粉丝","26439
微博","昵称：
胡作非为de欲哥哥
所在地：
上海 黄浦区
性别：
女
性取向：
双性恋
个性域名：
https://weibo.com/a520xiao
简介：
一个随心所欲的剪刀手，恐微博上等人，FightingXZ
注册时间：
2010-02-08
公司：
标签：
BLX勿近
墙头无数
神级拖延症患者
黑子无误"
16,https://weibo.com/bxaurora,博君一肖超话粉丝大咖,"6
关注","145434
粉丝","1217
微博","昵称：
极光Aurora·博肖视频站
所在地：
北京 朝阳区
性别：
女
生日：
双鱼座
个性域名：
https://weibo.com/bxaurora
简介：
王一博&肖战 | 博君一肖视频资源站 | 不转发
注册时间：
2020-02-13
标签：
肖战
王一博
博肖
博君一肖"
17,https://weibo.com/u/7444103693,麦考夫永远是对的,"20
关注","10440
粉丝","1828
微博","昵称：
holland1970
所在地：
上海 黄浦区
性别：
女
生日：
1970年1月1日
简介：
麦考夫永远是对的
注册时间：
2020-04-28"
18,https://weibo.com/u/6583976665,肖战超话粉丝大咖,"20
关注","674336
粉丝","7117
微博","昵称：
肖战_bot
所在地：
其他
性别：
男
生日：
2018年10月5日
简介：
只为肖战，投稿随缘🤖
注册时间：
2018-06-25
公司：
肥虾养殖基地"
19,https://weibo.com/u/5874584452,知名娱乐博主 微博娱评团成员 微博娱乐资讯博主,"1604
关注","3101559
粉丝","23600
微博","昵称：
吃瓜鹅每日搬
所在地：
北京
性别：
男
生日：
1993年12月1日
简介：
不走寻常路的搬运博，希望您看得开心，欢迎关注！
注册时间：
2016-03-05
标签：
八卦杂谈"
20,https://weibo.com/u/5938265292,娱乐博主,"996
关注","1616
粉丝","6621
微博","昵称：
麻辣兔头蘸蘸酱
所在地：
其他
性别：
男
生日：
摩羯座
简介：
富强民主文明和谐自由平等公正法制爱国敬业诚信友善
注册时间：
2016-05-23"
21,https://weibo.com/u/5743911134,肖战超话粉丝大咖 娱乐博主 肖战饭圈达人,"517
关注","216499
粉丝","11439
微博","昵称：
秃噜皮皮酱
所在地：
重庆 巴南区
性别：
女
生日：
2003年9月13日
注册时间：
2015-10-28"
22,https://weibo.com/u/6600089623,一直在,"10
关注","686109
粉丝","946
微博","昵称：
DAYTOY守护站
所在地：
重庆
性别：
男
生日：
1991年10月5日
简介：
一直在
注册时间：
2018-07-13
高中：
重庆市巴县中学 (2007年)
大学：
重庆工商大学"
23,https://weibo.com/xiaozhan1,X玖少年团成员；演员，代表作《陈情令》《庆余年》《狼殿下》,"187
关注","27185000
粉丝","754
微博","昵称：
X玖少年团肖战DAYTOY
所在地：
重庆
性别：
男
生日：
天秤座
个性域名：
https://weibo.com/xiaozhan1
简介：
有趣的灵魂.
注册时间：
2010-08-14
标签：
得瑟
天秤座"
24,https://weibo.com/u/5735157117,肖战影音会官方微博,"189
关注","3411289
粉丝","6349
微博","友情链接：
肖战微博
肖战工作室"
25,https://weibo.com/234390584,戚薇超话粉丝大咖,"656
关注","20819
粉丝","10257
微博","昵称：
一位酥肉
所在地：
湖南
性别：
女
生日：
1999年12月23日
个性域名：
https://weibo.com/234390584 https://weibo.com/nichyxi
简介：
不要私信了直接来我家
注册时间：
2013-06-13
大学：
重庆工商大学 (2017年)
美术学院
标签：
唱K
视频音乐
旅游"
26,https://weibo.com/u/3306017473,娱乐博主,"545
关注","44784
粉丝","35374
微博","昵称：
caihongtangswwrgv
所在地：
重庆
性别：
女
生日：
1998年10月30日
简介：
本人的所有发言仅代表个人言论
注册时间：
2013-08-19
公司："
27,https://weibo.com/reginawq?refer_flag=0000015010_&from=feed&loc=nickname,演员万茜,"432
关注","6904455
粉丝","2042
微博","昵称：
万茜
所在地：
其他
性别：
女
生日：
5月14日
博客：
http://blog.sina.com.cn/reginawq
个性域名：
https://weibo.com/reginawq
简介：
工作联系zhuoyu318@vip.126.com
注册时间：
2009-08-27
大学：
上海戏剧学院
表演系 上海戏剧学院"
28,https://weibo.com/esteelauder,雅诗兰黛,"156
关注","3665660
粉丝","10141
微博","友情链接：
天猫"
29,https://weibo.com/u/3054324425,剧评人,"240
关注","6686219
粉丝","17014
微博","昵称：
知名美少女观众
所在地：
北京
性别：
女
注册时间：
2012-10-20"
30,https://weibo.com/u/6426442002,热爱所有值得热爱的💙,"31
关注","102
粉丝","29
微博","昵称：
羽光化鸿-Aliya
所在地：
其他
性别：
男
生日：
1970年1月1日
简介：
热爱所有值得热爱的💙
注册时间：
2017-12-06"
31,https://weibo.com/u/6531408181,娱乐博主,"202
关注","37889
粉丝","2216
微博","昵称：
兔子灯笼
所在地：
其他
性别：
男
注册时间：
2018-04-21"
32,https://weibo.com/u/5809913431,知名娱乐博主,"265
关注","726828
粉丝","33779
微博","昵称：
西莫DAYTOY
所在地：
北京 东城区
性别：
女
生日：
1991年10月5日
简介：
肖战一生推🤓 【图频禁二传|二改|商用】
注册时间：
2015-12-27
大学：
重庆工商大学 (2010年)
标签：
花样美男"
