,weibo_context,weibo_time,like_num,user
0,海外粉丝对于提问#肖战问自拍有进步了吧# 回答是我们需要更多的自拍照来做出判断！强烈要求肖战@X玖少年团肖战DAYTOY 发更多自拍出来～不过大部分海外粉丝也很满足于这次的自拍照，只要不再是意想不到的...就很满足一起期待战战更多自拍作品吧#肖战自拍# ...展开全文c,11月15日 23:47,3710,0.0
1,诚挚发问#肖战问自拍有进步了吧# 韩国粉丝们正以纳米为单位”观察#肖战自拍# 的每一个细节～头发、眼睛、卧蚕、耳朵后，彩虹🌈立马就位，并且建议@X玖少年团肖战DAYTOY [每天发9张，进步会更快哦]虽然这样对心脏不太友好，但是韩国粉丝们绝不会耽误战战进步的！一 ...展开全文c,11月13日 23:28,11952,0.0
2,#肖战夜空中最亮的星# 无论是在舞台上还是影视剧中，都是闪闪发光的你，因为在小飞侠眼里你就是夜空中最亮的星⭐无论是歌手还是演员，海内外的小飞侠都知道，你会尽力做到最好！会继续做我们光芒万丈的肖战@X玖少年团肖战DAYTOY ！期待唐三给全世界观众带来震撼，期待斗罗大陆定档！ ...展开全文c,11月2日 17:28,5122,0.0
3,"肖战超话#肖战原声台词#  xz #斗罗大陆预告好燃#
唐三唐三唐三！因为沉迷于唐三的美貌和原声台词中，心脏无法镇定下来的不止你我，还有🌈 产出大户🇰🇷 🦐 哦~虽然这仅仅只是预告，但是跨海域的呐喊仍然震耳欲聋:鹅，你gkd!!，虽然未定档，但似乎反复观看预告也可 ...展开全文c",10月28日 11:18,11133,0.0
4,"#肖战夜空中最亮的星#
重阳节晚会上肖战@X玖少年团肖战DAYTOY 在舞台上认真唱歌的样子，虾虾们又一次被惊艳到了吧~ 虽然水域不同，但是🇰🇷 🦐 也蹲到了哦~ 🌈 🌈 “夜空中最亮的星，他是在做自我介绍吗？NoNoNo,不是自我介绍，毕竟在白天的天空，他也是最亮的！” ...展开全文c",10月26日 22:05,4007,0.0
5,被卡了！急求大量兔兔🙏🙏🙏肖战最好的你超话,10月19日 23:19,2434,0.0
6,先是#肖战健身照# 引来一帮英语虾虾“嘴角疯狂流眼泪”，大半夜又来撒一地的“五官逃跑”，紧接着小室捡的#肖战竹林大片花絮# 的包袱又让虾虾欢呼雀跃～这过山车般的体验，英语虾也感同身受呢~被吓跑?不存在的！战虾🔒肖战超话,10月19日 22:47,2530,0.0
7,"#肖战竹林大片花絮# 🇰🇷 虾虾在特效的惊悚和肖战的美好中精神分裂了，直言要没收肖战@X玖少年团肖战DAYTOY 的DY，感恩工作室的视频就是身材和脸都太过完美，不知道该先夸哪个总之“Don't worry, be happy”~肖战超话",10月18日 18:16,6560,0.0
8,"#肖战健身照# 传到韩国以后，#肖战肌肉线条#让韩国粉丝们眼前一亮！大家瞬间热情似火啊🔥啊～没想到这只可爱的兔子@X玖少年团肖战DAYTOY 如今摇身一变成为肌肉巨兔～宽肩，肌肉，青筋，颜值，时尚感... 原来世界上完美的人是存在的肖战超话

------
虾粮海 ...展开全文c",10月17日 22:44,9093,0.0
9,"韩国虾带着大家期盼的#肖战吹蜡烛# 和十八张帅图的🌈来啦 韩国虾金句频出：你就是四季，你就是青春每次韩国虾对于语言的运用都让我们自愧不如！谁让这位少年感爆棚的肖战@X玖少年团肖战DAYTOY 魅力如此大呢#肖战1005生日快乐#肖战超话

------
虾粮海外转运站韩语组

资料：♡L.I ...展开全文c",10月11日 18:44,4807,0.0
10,#肖战吹蜡烛# 的视频和终于让粉丝心愿实现的十八张帅图发布以后，英语虾和日语虾纷纷感叹：肖战的笑容特别富有感染力！纯粹又迷人，像个大男孩[米奇比心]虾虾们不仅送上了家人般充满爱意的生日祝福🤗，同时也表示会一如既往的支持战战，愿他开开心心、健健康康、顺顺利利，未来越来越 ...展开全文c,10月10日 21:01,4178,0.0
11,"#肖战1005生日快乐#

手捧星辰的你，宛如洁白的天使，你的羽翼，只有真正爱你的人才能看得见！

祝你生日快乐[米奇比心]@X玖少年团肖战DAYTOY 👼🏻

------来自新加坡粉丝@肖战打假小队的下排居中牙牙 的作品投稿肖战超话 ...展开全文c",10月5日 23:58,1556,0.0
12,"#肖战1005生日快乐#

一份特殊的生日礼物

来自拉丁美洲不同国家的粉丝共同制作的曲子，《Starry Night》，是一首可以听见星星在天空闪耀的声音的优美的曲子!

这首曲子对他们来说意义非凡，想要将点点星光汇聚，特此献给肖战，“谢谢你成为我们的light melody”~祝你生日快乐！...展开全文c",10月5日 23:35,13929,0.0
13,"#肖战1005生日快乐#
菲律宾小飞侠踩着光点的节奏来啦~

菲律宾小飞侠亲自手书对肖战的生日祝福与美好愿望~
他们因爱而汇聚，更因肖战的正能量变得更加勇敢与坚强，你说过的每句话，他们同样牢记心底，他们和你一路走来并愿意继续和你一同走下去！
“是你给了我们面对困难的勇气”
...展开全文c",10月5日 22:38,3177,0.0
14,"#肖战1005生日快乐#
距离，是指在空间或时间上相隔的长度。可是，在小飞侠心里，哪怕是在离中国几万公里的西班牙，智力，厄瓜多尔，萨尔瓦多，哥伦比亚等国，因为爱肖战，只会让“距离”这个词显得更加珍贵！

这次是来自欧洲和南美洲的生日祝福~

29岁，你继续迎风奔跑，我们也将在世界各 ...展开全文c",10月5日 20:45,3624,0.0
15,"#肖战1005生日快乐#
印度小飞侠来啦~
印度小飞侠用20种不同的印度语言送上对肖战生日的祝福，十分暖心！

“那一天，天堂迎着阳光洒落下了千多花儿，就是你降在世上的一天”
“你会一直被我们捧在心尖上爱着”
""我需要如何祈祷才能让幸福洋溢在你的唇上？”...展开全文c",10月5日 19:12,4141,0.0
